text,emotion
I don't understand recursion,Confused
Pointers are very hard,Frustrated
This topic is boring,Bored
I solved the problem myself,Confident
I want to learn more about AI,Curious
I am confused about linked lists,Confused
I am frustrated with dynamic programming,Frustrated
I enjoy learning machine learning,Curious
I completed all exercises,Confident
This chapter is very boring,Bored
I am confused about recursion,Confused
I am frustrated with programming,Frustrated
I feel bored while studying,Bored
I am curious about machine learning,Curious
I am confident in Java programming,Confident
